config,itemId,tier,purchases,per_match
standard,bt_base,BOOTS,2000,10
standard,t1_hp_s,T1,1950,9.75
standard,t1_ad_l,T1,1736,8.68
standard,t1_ap_l,T1,1707,8.54
standard,t1_ad_s,T1,1691,8.46
standard,t1_hp_l,T1,1618,8.09
standard,t2_mail,T2,1210,6.05
standard,t1_ah,T1,1186,5.93
standard,t2_belt,T2,1141,5.71
standard,t2_core,T2,1040,5.2
standard,t1_ap_s,T1,968,4.84
standard,t2_sigil,T2,932,4.66
standard,t1_as,T1,902,4.51
standard,st_blade,STARTER,796,3.98
standard,t2_scope,T2,774,3.87
standard,t2_rend,T2,749,3.75
standard,t2_veil,T2,724,3.62
standard,bt_swift,BOOTS,683,3.42
standard,t2_gale,T2,682,3.41
standard,t1_hsp,T1,644,3.22
standard,t1_ar_s,T1,625,3.13
standard,t2_halo,T2,622,3.11
standard,t3_wardaltar,T3,592,2.96
standard,bt_iron,BOOTS,560,2.8
standard,t2_heart,T2,504,2.52
standard,t1_mr_l,T1,454,2.27
standard,t3_starcrown,T3,424,2.12
standard,st_tome,STARTER,404,2.02
standard,st_hunter,STARTER,400,2
standard,st_tithe,STARTER,400,2
standard,t3_dawnbow,T3,400,2
standard,t3_warbringer,T3,392,1.96
standard,t3_unbroken,T3,388,1.94
standard,t1_mr_s,T1,362,1.81
standard,bt_arcane,BOOTS,361,1.81
standard,t3_bulwark,T3,357,1.79
standard,t3_calmveil,T3,348,1.74
standard,t2_rift,T2,317,1.59
standard,t3_vowshield,T3,307,1.54
standard,t3_voidstaff,T3,302,1.51
standard,bt_focus,BOOTS,299,1.5
standard,t3_stormfork,T3,285,1.43
standard,t1_crit,T1,267,1.34
standard,t3_shieldbreaker,T3,257,1.29
standard,t1_apen,T1,254,1.27
standard,t1_ar_l,T1,248,1.24
standard,t3_bloodplate,T3,242,1.21
standard,t2_echo,T2,217,1.09
standard,t3_redemption,T3,196,0.98
standard,t3_shadowblade,T3,192,0.96
standard,t1_mpen,T1,180,0.9
standard,t3_nightscythe,T3,168,0.84
standard,t3_pierce,T3,162,0.81
standard,t3_frostcrown,T3,108,0.54
standard,t3_thornmail,T3,107,0.54
standard,t3_lifespring,T3,99,0.5
standard,t3_finalstring,T3,93,0.47
standard,t3_rendspear,T3,82,0.41
standard,t3_psyward,T3,81,0.41
standard,t2_scythe,T2,62,0.31
standard,bt_quiet,BOOTS,36,0.18
