config,seed,pid,side,role,arch,heroId,strategy,won,k,d,a,dmg,taken_approx,gold,goldPerMin,t3_1_min,t3_2_min,t3_3_min,t3Count,completed10,completed15,completed20,completedEnd,unspent10,unspent15,unspent20,unspentEnd,earned10,earned15,earned20,earned20_passive,earned20_minion,earned20_kill,earned20_assist,earned20_tower,earned20_camp,earned20_objective,earned20_tithe,counterPlanned
standard,1,b1,blue,top,戰士,embercoil,standard,0,1,5,0,12631,25918,9226,394.1,9.28,17.28,,2,1,1,2,2,281,169,267,1146,3431,5519,7697,5924,711,540,,450,,72,,t3_shieldbreaker|t3_finalstring
standard,1,b2,blue,jungle,戰士,cinderfist,standard,0,1,9,1,9981,16756,9332,398.6,9.66,17.62,,2,1,1,2,2,548,145,349,1301,3648,5445,8029,5924,396,540,270,,827,72,,t3_shieldbreaker|t3_finalstring
standard,1,b3,blue,mid,法師,auralith,standard,0,0,4,1,14096,16480,8983,383.8,11.22,19.29,,2,0,1,2,2,1252,612,302,453,3512,5162,7952,5924,786,,270,900,,72,,t3_psyward
standard,1,b4,blue,adc,射手,liangzicz,standard,0,5,8,0,19430,14375,10483,447.8,10.3,19.37,,2,0,1,2,2,1370,280,356,1903,3530,5060,7256,5924,720,540,,,,72,,t3_shieldbreaker|t3_rendspear
standard,1,b5,blue,sup,坦克,tixue,standard,0,0,2,0,6235,21497,10344,441.9,8.03,13.58,18.6,3,1,2,3,3,204,388,212,763,4404,6588,9192,5924,266,,,900,,72,2029,t3_calmveil|t3_thornmail
standard,1,r1,red,top,戰士,embercoil,standard,1,4,1,3,14689,24454,13015,556,9.28,17.41,20.07,3,1,1,2,3,536,1198,1498,1985,3686,6728,10148,5924,822,1080,810,1080,,432,,t3_shieldbreaker|t3_finalstring
standard,1,r2,red,jungle,戰士,cinderfist,standard,1,12,0,4,19668,15561,17336,740.6,8.62,13,16.09,5,1,2,4,5,274,560,1452,2036,4974,8260,13952,5924,216,4860,675,180,1665,432,,t3_shieldbreaker|t3_finalstring
standard,1,r3,red,mid,法師,auralith,standard,1,1,1,7,20572,12431,11012,470.4,10.53,20.25,,2,0,1,1,2,1720,267,2023,1612,3980,6167,8523,5924,1026,,945,180,16,432,,t3_psyward
standard,1,r4,red,adc,射手,liangzicz,standard,1,7,4,1,20232,10864,13087,559.1,11.01,16.45,20.83,3,0,1,2,3,1283,796,726,1287,3443,6476,9626,5924,750,1620,270,630,,432,,t3_shieldbreaker|t3_rendspear
standard,1,r5,red,sup,坦克,tixue,standard,1,4,1,3,8920,20629,14053,600.4,8.39,13.21,17.68,4,1,2,3,4,354,615,1494,1853,4254,7395,11474,5924,209,2160,270,180,,432,2298,t3_calmveil|t3_thornmail
standard,2,b1,blue,top,戰士,cinderfist,standard,0,0,4,0,8039,19542,7854,376.2,10.28,19.18,,2,0,1,2,2,1192,42,509,174,3242,5042,7589,5924,693,,,900,,72,,t3_shieldbreaker|t3_finalstring
standard,2,b2,blue,jungle,戰士,chichuan,standard,0,1,0,0,5628,12731,8352,400.1,10.29,17.77,,2,0,1,2,2,1449,427,477,851,3449,5677,7977,5924,189,540,,450,802,72,,t3_shieldbreaker|t3_finalstring
standard,2,b3,blue,mid,法師,ronghuo,standard,0,2,3,0,14239,13989,8331,399.1,11.91,17.78,,2,0,1,2,2,1180,472,236,501,3440,5852,8066,5924,990,1080,,,,72,,t3_psyward
standard,2,b4,blue,adc,射手,leiting,standard,0,3,4,2,14111,11602,9675,463.5,10.73,18.38,,2,0,1,2,2,1280,220,1320,925,3440,5420,8840,5924,774,1080,540,450,,72,,t3_shieldbreaker|t3_rendspear
standard,2,b5,blue,sup,輔助,linghun,standard,0,0,1,0,5005,13611,9027,432.4,7.67,12.48,18.56,3,1,2,3,3,1106,237,292,587,4206,6967,8732,5924,234,,,450,24,72,2027,t3_calmveil
standard,2,r1,red,top,戰士,cinderfist,standard,1,5,0,0,10650,22670,11239,538.4,9.46,16.51,20.2,3,1,1,2,3,810,478,1654,259,3960,5958,10254,5924,732,2160,,990,16,432,,t3_shieldbreaker|t3_finalstring
standard,2,r2,red,jungle,戰士,chichuan,standard,1,4,1,1,9797,11177,11094,531.4,8.9,15.06,19.82,3,1,1,3,3,293,1312,69,643,4043,6742,10519,5924,210,2160,270,90,1433,432,,t3_shieldbreaker|t3_finalstring
standard,2,r3,red,mid,法師,ronghuo,standard,1,1,1,3,14580,11266,9756,467.4,12.03,17.78,,2,0,1,2,2,1144,342,241,356,3404,6242,9041,5924,750,540,405,990,,432,,t3_psyward
standard,2,r4,red,adc,射手,leiting,standard,1,2,4,1,11835,9182,9150,438.3,9.96,19.21,,2,1,1,2,2,90,157,845,1200,3440,5537,8165,5924,594,540,135,540,,432,,t3_shieldbreaker|t3_rendspear
standard,2,r5,red,sup,輔助,linghun,standard,1,0,0,1,6350,9848,9993,478.7,7.23,11.59,19.39,3,1,2,3,3,1805,272,689,1242,4305,7002,9439,5924,269,,270,540,,432,2003,t3_calmveil
standard,3,b1,blue,top,戰士,leimingcf,standard,0,1,1,1,9820,23254,8661,396.1,9.95,17.99,,2,1,1,2,2,164,462,696,61,3314,5942,8096,5924,558,540,270,540,,264,,t3_shieldbreaker|t3_finalstring
standard,3,b2,blue,jungle,戰士,jufeng,standard,0,0,3,1,6577,16914,8784,401.7,8.98,17.08,,2,1,1,2,2,489,1601,559,603,3589,6131,8089,5924,522,,270,540,689,144,,t3_shieldbreaker|t3_finalstring
standard,3,b3,blue,mid,法師,gambler,standard,0,1,3,0,14149,13735,8662,396.1,11.39,20.52,,2,0,1,1,2,1301,331,2017,112,3561,5181,8097,5924,756,540,,540,73,264,,t3_psyward
standard,3,b4,blue,adc,射手,liangzi,standard,0,2,5,0,14586,12395,8877,406,10.88,18.58,,2,0,1,2,2,1100,364,1092,426,3260,4844,8312,5924,504,1080,,540,,263,,t3_shieldbreaker|t3_rendspear
standard,3,b5,blue,sup,輔助,shiguang,standard,0,0,1,0,3435,14151,9965,455.7,7.98,13.08,19.95,3,1,2,3,3,197,531,40,925,4197,6411,8500,5924,180,,,90,,144,2162,t3_calmveil
standard,3,r1,red,top,戰士,leimingcf,standard,1,1,2,0,13262,22349,9588,438.5,9.37,18.88,,2,1,1,2,2,362,456,831,988,3512,5636,8831,5924,594,540,,1485,,288,,t3_shieldbreaker|t3_finalstring
standard,3,r2,red,jungle,戰士,jufeng,standard,1,3,0,0,6428,13821,10151,464.2,9.42,15.08,21.67,3,1,1,2,3,570,1978,727,301,3670,7108,9277,5924,90,1620,,360,994,288,,t3_shieldbreaker|t3_finalstring
