config,seed,pid,side,role,arch,heroId,strategy,won,k,d,a,dmg,taken_approx,gold,goldPerMin,t3_1_min,t3_2_min,t3_3_min,t3Count,completed10,completed15,completed20,completedEnd,unspent10,unspent15,unspent20,unspentEnd,earned10,earned15,earned20,earned20_passive,earned20_minion,earned20_kill,earned20_assist,earned20_tower,earned20_camp,earned20_objective,earned20_tithe,counterPlanned
standard,1,b1,blue,top,戰士,embercoil,standard,0,1,1,1,8028,20557,8573,437.2,9.5,17.01,,2,1,1,,2,405,327,,943,3555,5857,,,,,,,,,,t3_shieldbreaker|t3_finalstring
standard,1,b2,blue,jungle,戰士,cinderfist,standard,0,0,3,1,6451,13699,7819,398.8,9.25,17.07,,2,1,1,,2,682,697,,719,3782,5877,,,,,,,,,,t3_shieldbreaker|t3_finalstring
standard,1,b3,blue,mid,法師,auralith,standard,0,1,4,0,11001,12190,8390,427.9,11.47,18.21,,2,0,1,,2,1409,491,,259,3669,5341,,,,,,,,,,t3_psyward
standard,1,b4,blue,adc,射手,liangzicz,standard,0,2,3,0,12212,9797,8432,430,10.51,17.13,,2,0,1,,2,1357,441,,282,3517,5821,,,,,,,,,,t3_shieldbreaker|t3_rendspear
standard,1,b5,blue,sup,坦克,tixue,standard,0,0,1,3,4799,16686,9843,502,7.34,13.45,17.51,3,1,2,,3,549,161,,863,4449,7241,,,,,,,,,,t3_calmveil|t3_thornmail
standard,1,r1,red,top,戰士,embercoil,standard,1,1,0,1,10651,18982,9292,473.9,8.96,16.06,,2,1,1,,2,747,1322,,642,3897,6852,,,,,,,,,,t3_shieldbreaker|t3_finalstring
standard,1,r2,red,jungle,戰士,cinderfist,standard,1,4,1,0,8287,10954,11337,578.2,7.88,13.57,17.9,3,1,2,,3,286,889,,357,4386,7989,,,,,,,,,,t3_shieldbreaker|t3_finalstring
standard,1,r3,red,mid,法師,auralith,standard,1,2,1,2,13417,10266,9938,506.8,10.28,18.64,,2,0,1,,2,1542,276,,538,3802,6776,,,,,,,,,,t3_psyward
standard,1,r4,red,adc,射手,liangzicz,standard,1,4,2,2,17194,6950,10451,533,9.38,17.9,,2,1,1,,2,348,507,,1551,3698,6187,,,,,,,,,,t3_shieldbreaker|t3_rendspear
standard,1,r5,red,sup,坦克,tixue,standard,1,1,0,5,6999,13935,11511,587.1,8.61,14.11,17.84,4,1,2,,4,717,759,,211,4617,7999,,,,,,,,,,t3_calmveil|t3_thornmail
