config,itemId,tier,purchases,per_match
standard,bt_base,BOOTS,2000,10
standard,t1_hp_s,T1,1853,9.27
standard,t1_ad_l,T1,1802,9.01
standard,t1_ap_l,T1,1766,8.83
standard,t1_ad_s,T1,1670,8.35
standard,t1_hp_l,T1,1660,8.3
standard,t2_mail,T2,1220,6.1
standard,t1_ah,T1,1191,5.96
standard,t2_belt,T2,1155,5.78
standard,t2_core,T2,1102,5.51
standard,t2_sigil,T2,925,4.63
standard,t1_as,T1,864,4.32
standard,t1_ap_s,T1,859,4.3
standard,t2_rend,T2,829,4.14
standard,t2_scope,T2,823,4.12
standard,st_blade,STARTER,796,3.98
standard,t2_veil,T2,770,3.85
standard,t2_gale,T2,723,3.62
standard,bt_swift,BOOTS,684,3.42
standard,t1_hsp,T1,649,3.25
standard,t1_ar_s,T1,639,3.2
standard,t2_halo,T2,596,2.98
standard,t3_wardaltar,T3,592,2.96
standard,bt_iron,BOOTS,567,2.84
standard,t2_heart,T2,538,2.69
standard,t1_mr_l,T1,464,2.32
standard,t3_starcrown,T3,424,2.12
standard,t3_unbroken,T3,413,2.07
standard,st_tome,STARTER,404,2.02
standard,st_hunter,STARTER,400,2
standard,st_tithe,STARTER,400,2
standard,t3_dawnbow,T3,400,2
standard,t3_warbringer,T3,392,1.96
standard,bt_arcane,BOOTS,378,1.89
standard,t3_calmveil,T3,370,1.85
standard,t3_bulwark,T3,350,1.75
standard,t3_vowshield,T3,342,1.71
standard,t2_rift,T2,312,1.56
standard,t3_voidstaff,T3,308,1.54
standard,t1_mr_s,T1,307,1.54
standard,bt_focus,BOOTS,300,1.5
standard,t3_stormfork,T3,295,1.48
standard,t3_shieldbreaker,T3,275,1.38
standard,t1_ar_l,T1,265,1.33
standard,t1_crit,T1,261,1.31
standard,t3_bloodplate,T3,244,1.22
standard,t1_apen,T1,237,1.19
standard,t2_echo,T2,219,1.1
standard,t3_redemption,T3,200,1
standard,t3_shadowblade,T3,192,0.96
standard,t1_mpen,T1,186,0.93
standard,t3_pierce,T3,176,0.88
standard,t3_nightscythe,T3,170,0.85
standard,t3_thornmail,T3,141,0.71
standard,t3_frostcrown,T3,127,0.64
standard,t3_finalstring,T3,120,0.6
standard,t3_lifespring,T3,118,0.59
standard,t3_rendspear,T3,99,0.5
standard,t3_psyward,T3,94,0.47
standard,t2_scythe,T2,87,0.44
standard,bt_quiet,BOOTS,37,0.19
