config,seed,strategySide,over,duration_min,winner,strategyWon,kills,kills10,kills15,kills20,bK,rK,towers_blue_down,towers_red_down,towers20,blue_lane_cleared_min,red_lane_cleared_min,stall_min,guards_down_end,blue_nexus_hp_end,red_nexus_hp_end,dragons,barons,lastTowerFall_min,team_t3_20,rejected,violations,conservationFails,wallMs
standard,1,,1,23.39,red,,25,0,5,16,3,22,11,7,9,21.73,,,2,-792,7200,4,3,23.35,12,0,0,0,14064
standard,2,,1,18.91,red,,13,4,9,,1,12,8,4,,,,,2,-665,7200,3,2,18.83,0,0,0,0,12900
standard,3,,1,23.63,red,,36,0,2,17,12,24,11,6,10,21.98,,,2,-1733,7200,3,2,23.58,12.5,0,0,0,14232
standard,4,,1,18.53,red,,27,5,15,,1,26,10,3,,,,,2,-274,7200,3,2,18.39,0,0,0,0,12715
standard,5,,1,20.99,red,,13,3,6,10,7,6,10,4,12,,,,2,-313,7200,3,2,20.89,11.5,0,0,0,13606
standard,6,,1,24.15,red,,35,0,4,18,9,26,9,7,8,,,,2,-1100,7200,4,3,24.1,12,0,0,0,14213
standard,7,,1,19.93,red,,16,0,7,,2,14,10,5,,,,,2,-60,7200,3,2,19.85,0,0,0,0,13321
standard,8,,1,23.74,blue,,31,1,5,16,12,19,5,9,9,,,,2,7200,-562,3,3,23.64,12,0,0,0,14262
standard,9,,1,25.4,red,,45,0,3,12,22,23,9,7,10,,,,2,-1102,7200,3,2,25.37,11.5,0,0,0,7029
standard,10,,1,24.61,blue,,29,1,4,13,21,8,5,11,10,,24.29,,2,7200,-3190,3,2,24.58,11.5,0,0,0,7311
standard,11,,1,21.37,red,,22,2,8,19,5,17,9,5,12,,,,2,-26,7200,3,2,21.23,12.5,0,0,0,6064
standard,12,,1,22.38,red,,25,0,4,16,11,14,9,4,11,,,,2,-507,7200,3,2,22.25,13,0,0,0,6634
standard,13,,1,21.43,red,,27,1,8,26,5,22,11,4,13,19.18,,,2,-1039,7200,3,2,21.37,13.5,0,0,0,6030
standard,14,,1,20.43,red,,18,2,7,17,5,13,10,5,10,,,,2,-932,7200,3,2,20.37,13.5,0,0,0,6280
