config,itemId,tier,purchases,per_match
standard,bt_base,BOOTS,2000,10
standard,t1_ad_l,T1,1826,9.13
standard,t1_ap_l,T1,1762,8.81
standard,t1_hp_l,T1,1743,8.72
standard,t1_hp_s,T1,1743,8.72
standard,t1_ad_s,T1,1679,8.4
standard,t2_mail,T2,1309,6.55
standard,t2_core,T2,1170,5.85
standard,t2_belt,T2,1164,5.82
standard,t1_ah,T1,1074,5.37
standard,t2_sigil,T2,916,4.58
standard,t1_as,T1,902,4.51
standard,t2_rend,T2,884,4.42
standard,t2_scope,T2,864,4.32
standard,t1_ap_s,T1,842,4.21
standard,t2_veil,T2,819,4.1
standard,st_blade,STARTER,796,3.98
standard,t2_gale,T2,760,3.8
standard,bt_swift,BOOTS,687,3.44
standard,t1_ar_s,T1,681,3.41
standard,t1_hsp,T1,617,3.09
standard,t3_wardaltar,T3,592,2.96
standard,t2_halo,T2,591,2.96
standard,bt_iron,BOOTS,568,2.84
standard,t2_heart,T2,567,2.84
standard,t1_mr_l,T1,458,2.29
standard,t3_unbroken,T3,425,2.13
standard,t3_starcrown,T3,424,2.12
standard,st_tome,STARTER,404,2.02
standard,st_hunter,STARTER,400,2
standard,st_tithe,STARTER,400,2
standard,t3_dawnbow,T3,400,2
standard,t3_warbringer,T3,392,1.96
standard,t3_calmveil,T3,392,1.96
standard,bt_arcane,BOOTS,379,1.9
standard,t3_bulwark,T3,362,1.81
standard,t3_vowshield,T3,353,1.77
standard,t3_shieldbreaker,T3,331,1.66
standard,t3_voidstaff,T3,327,1.64
standard,t2_rift,T2,318,1.59
standard,t1_crit,T1,318,1.59
standard,t3_stormfork,T3,309,1.55
standard,bt_focus,BOOTS,300,1.5
standard,t1_ar_l,T1,283,1.42
standard,t3_bloodplate,T3,269,1.35
standard,t1_mr_s,T1,257,1.29
standard,t1_apen,T1,241,1.21
standard,t2_echo,T2,239,1.2
standard,t3_pierce,T3,209,1.05
standard,t3_redemption,T3,199,1
standard,t3_shadowblade,T3,192,0.96
standard,t1_mpen,T1,185,0.93
standard,t3_nightscythe,T3,173,0.87
standard,t3_thornmail,T3,168,0.84
standard,t3_lifespring,T3,162,0.81
standard,t3_finalstring,T3,159,0.8
standard,t3_frostcrown,T3,149,0.75
standard,t3_rendspear,T3,135,0.68
standard,t3_psyward,T3,95,0.48
standard,t2_scythe,T2,88,0.44
standard,bt_quiet,BOOTS,36,0.18
