config,seed,pid,side,role,arch,heroId,strategy,won,k,d,a,dmg,taken_approx,gold,goldPerMin,t3_1_min,t3_2_min,t3_3_min,t3Count,completed10,completed15,completed20,completedEnd,unspent10,unspent15,unspent20,unspentEnd,earned10,earned15,earned20,earned20_passive,earned20_minion,earned20_kill,earned20_assist,earned20_tower,earned20_camp,earned20_objective,earned20_tithe,counterPlanned
standard,1,b1,blue,top,戰士,embercoil,standard,0,0,0,0,7354,18783,6996,323.2,12.85,,,1,0,1,1,1,912,284,1008,1465,2962,4434,6538,5266,480,,,600,,192,,t3_shieldbreaker|t3_finalstring
standard,1,b2,blue,jungle,戰士,cinderfist,standard,0,1,0,1,7983,15288,8252,381.3,9.45,18.46,,2,1,1,2,2,283,729,1010,252,3383,5909,7810,5266,536,480,240,200,896,192,,t3_shieldbreaker|t3_finalstring
standard,1,b3,blue,mid,法師,auralith,standard,0,4,4,0,13448,12596,8924,412.3,12.85,19.14,,2,0,1,2,2,926,200,420,773,3186,5650,7970,5266,672,1440,,400,,192,,t3_psyward
standard,1,b4,blue,adc,射手,liangzicz,standard,0,3,3,0,15087,9686,8548,395,11.39,20.77,,2,0,1,1,2,866,546,986,927,3026,4546,6666,5266,608,,,600,,192,,t3_shieldbreaker|t3_rendspear
standard,1,b5,blue,sup,坦克,tixue,standard,0,1,4,0,6612,17913,9560,441.7,8.03,14.04,19.23,3,1,2,3,3,959,879,63,179,3859,6779,8963,5266,168,480,,600,,192,2256,t3_calmveil|t3_thornmail
standard,1,r1,red,top,戰士,embercoil,standard,1,3,2,0,6490,20846,9332,431.2,9.14,19.18,,2,1,1,2,2,436,376,500,981,3586,5906,8250,5266,808,960,,960,,256,,t3_shieldbreaker|t3_finalstring
standard,1,r2,red,jungle,戰士,cinderfist,standard,1,2,1,1,11190,12658,9052,418.3,9.14,19.32,,2,1,1,2,2,361,924,484,452,3461,5504,7884,5266,202,480,120,160,1399,256,,t3_shieldbreaker|t3_finalstring
standard,1,r3,red,mid,法師,auralith,standard,1,0,3,0,12947,11424,7910,365.5,11.84,21.56,,2,0,1,1,2,830,724,408,360,3090,5274,6908,5266,826,,,560,,256,,t3_psyward
standard,1,r4,red,adc,射手,liangzicz,standard,1,3,3,1,18147,8266,9145,422.6,12.5,19.59,,2,0,1,2,2,876,192,263,894,3036,4972,7583,5266,581,480,240,760,,256,,t3_shieldbreaker|t3_rendspear
standard,1,r5,red,sup,坦克,tixue,standard,1,3,0,2,6743,18213,10518,486,9.54,13.23,17.27,3,1,2,3,3,293,286,417,538,3893,7226,9917,5266,237,1440,360,760,,256,1597,t3_calmveil|t3_thornmail
