config,seed,strategySide,over,duration_min,winner,strategyWon,kills,kills10,kills15,kills20,bK,rK,towers_blue_down,towers_red_down,towers20,blue_lane_cleared_min,red_lane_cleared_min,stall_min,guards_down_end,blue_nexus_hp_end,red_nexus_hp_end,dragons,barons,lastTowerFall_min,team_t3_20,rejected,violations,conservationFails,wallMs
standard,1,,1,21.64,red,,20,1,8,12,9,11,11,6,14,20.88,,,2,-38,7200,3,2,21.59,9.5,0,0,0,13635
standard,2,,1,23.35,red,,19,1,3,9,8,11,10,7,9,,,,2,-91,7200,3,2,23.25,8,0,0,0,14045
standard,3,,1,22.13,blue,,18,0,5,10,10,8,6,10,11,,,,2,7200,-1222,3,2,22.13,8,0,0,0,13754
standard,4,,1,21.92,red,,12,1,2,6,2,10,11,7,13,20.82,,,2,-420,7200,3,2,21.87,7.5,0,0,0,13722
standard,5,,1,25.89,red,,38,1,6,14,8,30,10,7,11,,,,2,-1676,7200,4,3,25.86,9.5,0,0,0,15045
standard,6,,1,23.33,blue,,27,2,8,16,9,18,6,8,10,,,,2,7200,-71,3,2,23.23,9.5,0,0,0,13856
standard,7,,1,22.42,red,,25,0,6,16,2,23,11,6,10,22.21,,,2,-1139,7200,4,2,22.37,9.5,0,0,0,13657
standard,8,,1,23.99,blue,,29,1,3,16,12,17,7,11,7,,23.03,,2,7200,-203,4,2,23.91,8,0,0,0,14239
standard,9,,1,23.38,red,,26,0,2,12,10,16,11,5,7,22.14,,,2,-770,7200,3,2,23.33,8.5,0,0,0,6441
standard,10,,1,20.65,blue,,19,3,8,18,10,9,3,9,10,,,,2,7200,-491,3,2,20.58,9,0,0,0,6002
standard,11,,1,23.41,red,,32,2,12,21,7,25,10,7,9,,,,2,-813,7200,3,2,23.37,9.5,0,0,0,6229
standard,12,,1,24.88,red,,36,0,0,13,16,20,11,7,11,24.04,,,2,-470,7200,4,3,24.43,8.5,0,0,0,6811
standard,13,,1,23.16,red,,28,0,4,17,11,17,9,5,12,,,,2,-620,7200,3,3,23.13,9.5,0,0,0,6444
standard,14,,1,26.13,red,,32,2,7,14,8,24,11,8,11,24.94,,,2,-1955,7200,4,3,26.09,11,0,0,0,7125
standard,15,,1,26.88,blue,,39,1,5,16,22,17,7,11,12,,23.81,,2,7200,-3900,4,3,26.85,9,0,0,0,7369
standard,16,,1,22.99,red,,23,1,3,15,8,15,10,5,10,,,,2,-247,7200,3,2,22.91,8.5,0,0,0,6439
standard,17,,1,20.43,red,,15,1,4,14,0,15,11,6,14,19.5,,,2,-581,7200,3,2,20.37,10,0,0,0,5568
standard,18,,1,19.45,red,,16,2,5,,2,14,9,7,,,,,2,-128,7200,3,2,19.38,0,0,0,0,5253
